Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
vorrei concludere con due rapide osservazioni,voglio concludere con due osservazioni,79.1667,0.7938,0.0909,66.9,0,0
questa è solo una faccia della medaglia,e solo una faccia di una medaglia,20.4058,0.2273,0.0889,19.7,0,0
questa è un altra vita,la mia vita oggi e un altra,74.9158,0.6127,0.0889,26.6,0,0
così non è più scherzo,non e stato uno scherzo,60.8532,0.6313,0.0682,25.4,0,0
probabilmente la risposta è no,la risposta e stata no,53.5317,0.75,0.1364,30.2,0,0
al riguardo si impongono alcune ulteriori considerazioni,al riguardo si impongono alcune considerazioni preliminari,83.3333,0.9813,0.1333,80.9,0,0
certo questa è la nostra speranza,questa e la nostra viva speranza italiana ed europea,42.8241,0.501,0.0652,11.3,0,0
più sai meno rischi,piu so che rischi,39.4444,0.102,0.046,12.4,0,0
si concluderebbe così nel marzo del 2003,si concludera nel marzo del 2003,66.6667,0.7014,0.1111,45.5,0,0
è un fatto positivo,ed e un fatto positivo,57.1429,0.5889,0.0682,39.8,0,0
ma qui ci casca l asino,ma proprio qui casca l asino,100.0,0.9977,0.1778,100.0,0,0
quando tornò le statue erano terribilmente pallide,quando tornano le statue sono davvero necessarie,69.1071,0.5357,0.0667,26.3,0,0
mi fa male la testa,la testa mi fa male,36.3095,0.968,0.0682,50.0,0,0
l esame finale può essere ripetuto solo una volta,l esame finale puo essere ripetuto una volta,46.9658,0.5575,0.0879,23.4,0,0
questo è proprio il compito essenziale,questo e il tuo compito,51.0317,0.3,0.0682,14.1,0,0
e la vita è questa,questa era la nostra vita,48.8095,0.3,0.0227,14.1,0,0
questo mi fa molto piacere,fam - mi questo piacere,48.8095,0.2206,0.0225,9.4,0,0
forse non posso essere vista ma vedo,non vedo com ho vista,56.9444,0.0735,0.0,7.2,0,0
e poi a cosa servirebbe,e soprattutto a cosa serviva,66.6667,0.5111,0.0455,23.6,0,0
c è un vento nuovo finalmente,c e un vento leggero,39.7817,0.3,0.0682,14.1,0,0
i giochi evidentemente sono ancora aperti,i giochi sono ancora aperta,63.1019,0.7938,0.0909,66.9,0,0
spero di esser- le stata utile,spero di essere stata utile,100.0,0.996,0.1364,100.0,0,0
le cause non sono ancora del tutto chiare,la causa non e chiara,44.0476,0.0847,0.0,8.7,0,0
dopo il comma 3 aggiungere il seguente 4,dopo il comma 3 e aggiunto il seguente 4,77.3611,0.8819,0.2174,59.7,0,0
al peggio non c è mai limite,non c e limite al peggio,53.7067,0.8067,0.1573,38.0,0,0
quindi lascia- ci almeno il beneficio del dubbio,lascia il beneficio del dubbio,60.1058,0.8203,0.1136,57.9,0,0
il comma 2 dell articolo 5 sia sostituito dal seguente 2,il comma 2 dell articolo 5 e sostituito con il seguente 2,82.7778,0.9139,0.2737,73.5,0,0
i due rimasero colpevolmente in silenzio,i due rimasero in silenzio,52.0833,0.5111,0.0455,23.6,0,0
i bambini erano divisi in gruppi di tre,i bambini erano suddivisi in gruppi di tre,23.0556,0.8648,0.1538,50.0,0,0
qual è la soluzione allora,e allora la soluzione qual e,36.5741,0.6189,0.0674,19.3,0,0
c è forse un problema,c e un problema politico,65.0,0.375,0.0227,21.4,0,0
le prospettive della nostra economia intanto sono purtroppo quelle che sono,sono le prospettive della nostra economia,23.0556,0.4248,0.0449,10.5,0,0
questa è una occasione diversa,questa e una grande occasione,37.6984,0.3,0.0909,14.1,0,0
le ragioni sono essenzialmente due,e le ragioni principali sono due,93.1746,0.9765,0.1124,76.0,0,0
alla pubblica udienza del 25 giugno 2004 il ricorso è stato trattenuto in decisione,alla pubblica udienza del 25 giugno 2004 il ricorso veniva trattenuto per la decisione,73.844,0.9139,0.2653,77.4,0,0
questa è naturalmente solo la mia opinione,e solo la mia piccola opinione,38.1944,0.1961,0.0225,9.7,0,0
approvata anche l immediata esecutività,e approvata anche l immediata esecutivita,15.9722,0.4907,0.1319,30.2,0,0
rinvia quindi il seguito dell esame congiunto ad altra seduta,il seguito dell esame congiunto viene rinviato ad altra seduta,100.0,0.9995,0.2553,100.0,0,0
per ulteriori informazioni rivolger- si alla u.o,per maggiori informazioni ci si puo rivolgere alla a,40.273,0.4956,0.1087,16.1,0,0
questo è un regalo fantastico,questo e un bel regalo,49.3056,0.2,0.0,12.7,0,0
ma forse le cose sono più complicate,le cose sono piu complicate,38.8889,0.0,0.0,5.3,0,0
vi ringrazio anticipatamente per la risposta e vi porgo cordiali saluti,ringrazio anticipatamente per la risposta e porgo un cordiale saluto,50.6151,0.7182,0.1263,41.1,0,0
qualcuno può aiutar- me per favore,per favore puo aiutar - me,57.8373,0.5011,0.1111,18.0,0,0
questa è stata la differenza,quali sono state le differenze,41.25,0.0,0.0,5.3,0,0
ma talvolta questo può anche non essere sufficiente,ma non poteva essere sufficiente,100.0,0.996,0.1364,100.0,0,0
ma certo i tempi sono stretti,ma i tempi sono stretti,100.0,0.996,0.1364,100.0,0,0
si non è una domanda oziosa,non e una domanda inutile,19.3056,0.5111,0.0909,23.6,0,0
dichiara quindi concluso lo svolgimento delle interrogazioni a risposta immediata all ordine del giorno,dichiara concluso lo svolgimento delle interrogazioni a risposta immediata dell ordine del giorno,42.7596,0.8566,0.2292,63.4,0,0
d sono d accordo con quanto dici,sono d accordo con il critico,38.8889,0.4907,0.0674,30.2,0,0
ringrazio anticipatamente per la risposta e porgo distinti saluti,ringrazio per la risposta e porgo distinti saluti,100.0,0.999,0.2174,100.0,0,0
è a un bivio,siamo a un difficile bivio,100.0,0.996,0.1573,100.0,0,0
abbiamo vinto alla fine,abbiamo vinto alla fine,48.3333,0.7653,0.046,35.2,0,0
la realtà purtroppo è un altra,la realta e un altra,43.75,0.1695,0.0682,10.4,0,0
oggi tutto questo è un dato di fatto,e un dato di fatto,49.7222,0.5889,0.0909,39.8,0,0
anche qui la risposta era no,la ovvia risposta e no,56.6667,0.3,0.0682,14.1,0,0
comunque i casi sono due,i casi possono essere due,100.0,0.996,0.1364,100.0,0,0
tali argomentazioni non possono essere condivise,tale argomentazione non puo essere condivisa,80.0,0.8067,0.1778,38.0,0,0
proprio qui sta il problema,tutto il problema sta qui,54.3651,0.3,0.0,14.1,0,0
la risposta è senz altro negativa,la risposta deve essere negativa,47.4206,0.5111,0.0682,23.6,0,0
il problema è sempre quello,il problema e sempre attuale,34.9206,0.75,0.1364,30.2,0,0
c è anche un altra questione,ma la questione e anche un altra,60.4167,0.6914,0.1111,30.7,0,0
e questa è una notizia,ed e una buona notizia,65.1786,0.75,0.1364,42.7,0,0
l attività didattica è ampia continuativa e pertinente,l attivita didattica e stata continua ed ampia,26.7063,0.2419,0.1099,7.3,0,0
sussistono tuttavia giusti motivi per disporre la integrale compensazione tra le parti delle spese del grado di giudizio,sussistono giusti motivi per disporre la integrale compensazione tra le parti delle spese di entrambi i gradi di giudizio,62.1323,0.8045,0.2549,56.8,0,0
il comma 1 dell articolo 29 del testo unico è sostituito dal seguente 1,il comma 1 dell articolo 29 del testo unico e sostituito dal seguente 1,29.2879,0.9269,0.3093,78.3,0,0
la colpa è nostra,la colpa e nostra,44.6429,0.3061,0.046,16.4,0,0
certo era un sogno,era stato solo un sogno,100.0,0.996,0.1364,100.0,0,0
lì si farà sul serio,l hai fatto sul serio,100.0,0.996,0.1364,100.0,0,0
poi si accese un altra sigaretta,si accende un altra sigaretta,83.5317,0.7938,0.0909,66.9,0,0
comunque vediamo cosa si può fare,vediamo che cosa si puo fare,31.1111,0.4808,0.1124,23.3,0,0
il bilancio è però ancora provvisorio,il bilancio e ancora provvisorio,56.6667,0.6356,0.1136,24.7,0,0
però questo sarebbe indubbiamente un dato fondamentale,ma questo e un dato assoluto,48.9484,0.5011,0.0674,18.0,0,0
in programmazione i puntatori sono o indirizzi di memoria di elementi del   come variabili oggetti strutture di sottoprogrammi.in generale i puntatori sono un meccanismo che consente l' indirizzamento indiretto nei linguagg,in programmazione i punti di programmazione sono o restrizioni di memoria di elementi del come riferimento gli'algoritmo utilizzato in funzione di tempi tecnici e quindi,42.4209,0.3814,0.1273,19.3,0,0
ci sarebbe molta strada da fare,la strada da fare e ancora molta,80.5556,0.8413,0.1778,48.9,0,0
ma fino ad ora le cose come sono andate,come sono andate invece le cose,66.6667,0.8067,0.0899,38.0,0,0
si laurea in ingegneria nel 1935,si e laureato in ingegneria elettronica nel 1935,72.5,0.7031,0.1538,27.1,0,0
questo è un punto fondamentale,questo e un punto fermo,36.3095,0.2542,0.0682,11.5,0,0
che cosa si potrebbe fare,che cosa si puo fare e come,66.6667,0.6148,0.1111,26.3,0,0
questo è l altro punto della questione,e forse e proprio qui il punto della questione,45.8333,0.3549,0.0435,10.6,0,0
"la seduta è tolta ore 11,15","alle ore 18, 15 la seduta e tolta",33.6772,0.6194,0.1087,14.3,0,0
ma come sempre è solo un opinione,ma e solo una mia opinione,72.8373,0.8067,0.1573,53.7,0,0
c era una colonna portante lì,c era una colonna legno,44.6429,0.4331,0.0455,19.4,0,0
l esposizione è stata chiara efficace ed illuminante,l esposizione e stata molto chiara,43.1944,0.4259,0.0674,18.0,0,0
ma la questione è anche un altra,ma la questione e delicata,48.5317,0.6356,0.1136,35.0,0,0
il presente decreto sarà pubblicato integralmente nella gazzetta ufficiale della regione siciliana,il presente decreto sara pubblicato indipendentemente nella gazzetta ufficiale della regione siciliana,66.6667,0.8887,0.1875,54.5,0,0
questa è una grandissima contraddizione,ma e una colossale contraddizione,51.8056,0.2,0.0449,12.7,0,0
eppure è proprio così,ma e stata proprio cosi,53.7698,0.5111,0.1364,23.6,0,0
questo è l altro punto fondamentale,questo e un altro punto incerto,45.0397,0.1961,0.0444,9.7,0,0
la situazione non si presenta certo brillante,la situazione non si presenta semplice,66.6667,0.83,0.1124,76.0,0,0
la questione tuttavia è un altra,la questione e ancora un altra,51.3889,0.3676,0.0674,16.2,0,0
il mercato quindi è in perenne movimento,il mercato e in continuo crescita,60.4167,0.4259,0.0674,18.0,0,0
sarebbe l epilogo più triste della storia,ma questa e l amara storia del rock,52.5,0.1875,0.0217,7.3,0,0
non deve essere inserita in graduatoria,non deve essere inserita in tale graduatoria,100.0,0.9985,0.2174,100.0,0,0
vi devo dire una cosa,una cosa devo comunque dire,100.0,0.996,0.1364,100.0,0,0
il ricorso è infondato e va pertanto respinto,il ricorso principale e percio infondato e va respinto,14.5238,0.6944,0.129,23.4,0,0
le spese tuttavia possono essere compensate,le spese possono compensar - si,37.4008,0.3676,0.0222,16.2,0,0
carattere è un cane temerario energico allegro coccolone emotivo e molto intelligente,carattere e un cane vispo coccolone e molto intelligente,72.3106,0.8819,0.2553,75.1,0,0
è una questione di identità nazionale,e una questione di identita,37.9167,0.4991,0.1136,32.6,0,0
questo è un mondo stupido ignorante,questo e un mondo stupido,35.4167,0.2542,0.0682,11.5,0,0
forse questo potrebbe dare una risposta alla tua domanda,forse questa e una risposta alla tua domanda,37.5926,0.2419,0.0,7.3,0,0
già così la storia è abbastanza amara,la storia e abbastanza semplice,43.5317,0.75,0.1364,30.2,0,0
la differenza è stata sostanzialmente questa,la differenza e questa,47.4206,0.6389,0.1149,35.4,0,0
ma questo è anche un bene,e questo e stato un bene,61.1111,0.3676,0.0449,16.2,0,0
la tesi difensiva non appare condivisibile,tale tesi non appare condivisibile,100.0,0.996,0.1573,100.0,0,0
e pinocchio invece di rendergli la parrucca se la mise in capo per sé rimanendovi sotto mezzo affogato,e pinocchio invece di fare la parrucca in capo per se stessa se la mise in capo a se stessa,42.3333,0.1935,0.0762,8.5,0,0
sono abrogate le norme in contrasto o incompatibili con la presente legge,sono abrogate tutte le norme regionali in contrasto con la presente legge,78.6561,0.988,0.25,73.5,0,0
intanto si era radunato un piccolo gruppo di persone intorno a loro e una signora anziana si fece avanti,si era radunato un piccolo gruppo di persone intorno a loro e una signora anziana si fece avanti,38.1241,0.5079,0.0784,23.3,0,0
spese dei due gradi di giudizio compensate,le spese dei due gradi di giudizio possono essere compensate,65.2778,0.7182,0.0851,41.1,0,0
questo è di certo un fatto positivo,e un altro fatto certo,49.2063,0.2,0.0455,12.7,0,0
ho detto che sono sportiva e il mio abbigliamento è adeguato alla mia affermazione un paio di scarpe da ginnastica jeans e delle comode maglie coloratissime,ho detto che sono sportivo e il mio abbigliamento e comodo alla mia scarpe da montagna e delle scarpe da corsa e delle comoda abbigliamento comodo e delle,33.33,0.1103,0.0,1.8,0,0
quando ha deciso che sarebbe diventato un attore,quando ha deciso di diventare un attrice,83.2407,0.7577,0.1333,70.1,0,0
ma questo è soltanto l inizio,ma e soltanto l inizio,54.3651,0.5111,0.0682,23.6,0,0
tutto questo in realtà finora non c è stato,in realta non e cosi,50.1488,0.1695,0.0455,10.4,0,0
e non se ne può fare a meno,non puo fare di meno,67.381,0.75,0.1364,42.7,0,0
ma non è una battuta,la mia non e una battuta,40.1984,0.8067,0.1573,38.0,0,0
e non è proprio la stessa cosa,non possono essere la stessa cosa,100.0,0.9977,0.1573,100.0,0,0
infine esprimo parere contrario sulle restanti proposte emendative,esprime infine parere contrario sulle restanti proposte emendative,70.2778,0.8737,0.1935,84.1,0,0
conseguentemente sopprimere l articolo 7,conseguentemente l articolo 7 e soppresso,79.1667,0.8067,0.1778,53.7,0,0
però forse c è un altro fatto,ma c e un altro fatto,38.8889,0.2941,0.0449,10.7,0,0
20 durante il suo regno edom si ribellò al potere di giuda e si elesse un re,20 durante il suo regno edolo si guadagno dal potere di giuda e si elesse un re di giuda,26.1226,0.7954,0.2692,56.8,0,0
ma questa sarebbe un altra storia,ma questa e tutt altra storia,55.5556,0.1961,0.0449,9.7,0,0
posto ai voti è approvato l emendamento 6.3,posto ai voti l emendamento 18. 3 viene approvato,61.859,0.6181,0.1075,20.6,0,0
sarebbe già una grande cosa,e questa e una grande cosa,66.6667,0.5773,0.0899,30.2,0,0
questo è un momento solenne e decisivo,questo e un momento grave,32.2222,0.5111,0.0909,23.6,0,0
non si potrebbe scendere nel particolare,non posso entrare nel dettaglio,64.6495,0.3178,0.0455,17.5,0,0
questi ebbe un attimo di esitazione,poi ebbe un attimo di astensione,33.9286,0.1667,0.0,9.7,0,0
il bilancio di previsione di ciascun esercizio deve essere approvato entro il 15 novembre dell anno precedente a quello cui si riferisce,i bilanci di previsione sono approvati entro il 15 novembre di ciascun anno precedente l esercizio cui si riferiscono,99.0741,0.9999,0.3922,100.0,0,0
la risposta è stata no,la ovvia risposta e no,50.8929,0.3,0.0909,14.1,0,0
allora qual è il problema,allora quale e il problema,13.1944,0.535,0.0682,11.5,0,0
ernesta si commosse sentendo quel racconto e decise di aiutare gli abitanti di pi,ernesta si senti stupida mentre il racconto loro questo episodio e decise di aiutare gli abitanti di pi,65.0332,0.6721,0.2157,43.5,0,0
comunque questo non è il caso,proprio non era il caso,79.7222,0.6727,0.0909,54.8,0,0
ce ne sono di diversi tipi,di laser ne sono di diversi tipi,20.5387,0.5799,0.1111,26.8,0,0
quale potrebbe essere questo aiuto,quale puo essere questo aiuto,48.8095,0.2542,0.0455,11.5,0,0
perché non c è un controllo capillare,non c e un controllo,42.0833,0.4331,0.0455,19.4,0,0
posto ai voti è respinto anche l emendamento 7.3,posto ai voti l emendamento 8. 3 viene respinto,39.7756,0.686,0.1075,20.6,0,0
adesso non c è scelta,non c era altra scelta,76.3889,0.75,0.0909,42.7,0,0
tanto che ci viene un dubbio,ma mi viene un dubbio,41.5873,0.5889,0.0682,39.8,0,0
la ringrazio dell attenzione e le invio distinti saluti,la ringrazio dell attenzione e le invio distinti saluti,46.6288,0.6944,0.087,23.4,0,0
la domanda però è un altra,la mia domanda pero e un altra,42.8241,0.5174,0.0667,15.6,0,0
questa è una insolente bugia,ma era una pietosa bugia,100.0,0.996,0.1573,100.0,0,0
è una persona strana,e una persona strana,40.4762,0.3061,0.023,16.4,0,0
una cosa vorrei dire,un altra cosa voglio dire,55.4365,0.5111,0.0227,23.6,0,0
la promessa è stata mantenuta,e la promessa e mantenuta,77.7778,0.6313,0.0909,42.7,0,0
l assemblea regionale si riunisce di norma almeno una volta all anno,l assemblea si riunisce di norma almeno una volta l anno,100.0,0.9996,0.2553,100.0,0,0
insomma siamo proprio alla frutta,caro jack siamo alla frutta,100.0,0.996,0.1364,100.0,0,0
è un pò la stessa cosa,e un po la stessa cosa,60.4167,0.3775,0.0674,21.6,0,0
non sarebbe mica colpa sua,non e stata colpa sua,58.3333,0.3,0.0227,14.1,0,0
anzi per il momento non può far nulla,per il momento non puo far nulla,47.6389,0.6914,0.1333,43.5,0,0
infine c è il cevrin di coazze un formaggio di capra che si produce ancora oggi nei pascoli della val sangone,infine c e il cedimento di berna di cane che si e trasformato in un fossile dei campi della valtellinese,19.7344,0.1648,0.0566,3.0,0,0
il gran giorno è arrivato,il grande giorno e arrivato,36.1111,0.2,0.0682,12.7,0,0
nel ringraziar- la anticipatamente per la sua risposta le auguro una buona giornata,vi ringrazio anticipatamente per le risposte e vi auguro una buona giornata,38.9494,0.5445,0.1042,16.4,0,0
articolo 16 aggiungere il seguente art,dopo l articolo 16 e aggiunto il seguente art,33.7266,0.8541,0.1522,43.2,0,0
la commissione prosegue l esame rinviato da ultimo nella seduta del 24 luglio 2003,la commissione prosegue l esame rinviato nella seduta del 24 luglio 2003,100.0,0.9997,0.2917,100.0,0,0
e questo è solo il primo atto,e stato il primo atto,41.1111,0.5515,0.0909,28.6,0,0
quelle sono le regole del gioco,sono le regole del suo gioco,100.0,0.9977,0.1573,100.0,0,0
> mi potete dare dei consigli,> mi potete dare qualche consiglio,100.0,0.9977,0.1573,100.0,0,0
ma non è più questo il punto,ma non e il punto,49.213,0.75,0.1364,30.2,0,0
in caso di parità dei voti prevale quello del presidente o di chi presiede la riunione,in caso di parita prevale il voto del presidente o di chi lo partecipa la riunione,52.5077,0.8007,0.297,40.5,0,0
la luce splende nelle tenebre ma le tenebre non l accolsero,e la luce splende fra le tenebre e le tenebre non l hanno accolta,100.0,0.9998,0.3265,100.0,0,0
non poteva far- ci niente,non potevamo fare assolutamente niente,100.0,0.996,0.1364,100.0,0,0
accettate ovunque le principali carte di credito,accettate tutte le principali carte di credito,50.6313,0.6371,0.0444,27.8,0,0
che non è una barzelletta,e non e una barzelletta,37.6984,0.6313,0.1778,30.2,0,0
ci sono sempre più anziani,ci sono sempre piu piccoli,48.6111,0.375,0.0455,21.4,0,0
e questo non è sicuramente l unico caso,ma non e l unico caso,58.8889,0.625,0.0899,32.5,0,0
non lo so proprio,questo proprio non lo sappiamo,100.0,0.996,0.1364,100.0,0,0
si proceda dunque nel modo seguente,si puo procedere al modo seguente,50.754,0.526,0.1124,19.3,0,0
il ricorso quindi deve essere rigettato,il ricorso deve essere rigettato,100.0,0.996,0.1778,100.0,0,0
questo sarebbe però soltanto il primo passo,questo e solo il primo passo,77.1429,0.7014,0.1348,45.5,0,0
non è una cosa molto comprensibile,non e una cosa difficile,39.7817,0.3,0.0682,14.1,0,0
l ultima però gli era stata fatale,l ultima pero era stata respinta,46.8254,0.0833,0.0225,8.1,0,0
mah per me è un mistero,per me e un mistero,24.7685,0.75,0.1364,30.2,0,0
ma allora che cosa si può fare,ma allora che cosa possiamo fare,18.8889,0.4259,0.0449,18.0,0,0
tutto il resto mi è ignoto,il resto e stato tutto semplice,47.4206,0.5011,0.0449,18.0,0,0
ma questo non è il problema,ma non furono pochi i problemi,69.2593,0.4259,0.0449,18.0,0,0
conseguentemente sostituire l articolo 3 con il seguente art,l articolo 3 viene sostituito dal seguente art,20.319,0.605,0.0879,25.8,0,0
questo è molto difficile da dire,e molto difficile da dire,47.6389,0.5889,0.0909,39.8,0,0
finalmente si fa la cosa giusta,facciamo la cosa giusta,41.5873,0.7361,0.069,59.5,0,0
il barbiere non lo salutò e si girò di scatto come se stesse cercando qualcosa,il barbiere non lo saluto e si giro di scatto,30.4401,0.5727,0.234,23.8,0,0
questo sarebbe oggettivamente un bene,ma questo e un bene,70.8333,0.6313,0.0909,25.4,0,0
i problemi ovviamente non mancano,ma i problemi tecnologici non mancano,66.6667,0.7353,0.0674,23.0,0,0
posto ai voti è respinto anche l emendamento 4.2,posto ai voti l emendamento 7. 2 viene respinto,78.3333,0.8437,0.1935,45.2,0,0
solo un pazzo potrebbe far- lo,solo un pazzo puo far - lo,65.4762,0.4827,0.0667,24.4,0,0
e non sarà un caso,e non era certo un caso,62.6984,0.5011,0.0449,18.0,0,0
e questa sarebbe una belle notizia,questa e una buona notizia,66.6204,0.6559,0.0909,30.3,0,0
la speranza di molti però è un altra,la speranza pero e un altra,50.6019,0.625,0.1124,23.0,0,0
tutti assieme abbiamo fatto un gran lavoro,dunque avete fatto un ottimo lavoro,24.5833,0.5011,0.0449,18.0,0,0
si tratta probabilmente di un errore,si tratta di un altro errore,62.6786,0.8067,0.0899,53.7,0,0
in un primo momento clara sembrava dubbiosa ma fu rassicurata da luisa perché era certa che sarebbe andato tutto bene,in un primo momento clara sembrava dubbio ma fu sconvolta da luisa perche era sicuro che sarebbe tornata indietro,56.8447,0.5048,0.098,22.0,0,0
in attesa di una vostra risposta la ringrazio anticipatamente,in attesa di una risposta ringrazio,70.0,0.8535,0.1348,51.2,0,0
ringraziando- la anticipatamente per la risposta cordialmente la saluto,la ringrazio per la sua risposta e la saluto cordialmente,77.4969,0.9836,0.2128,65.8,0,0
i risultati infatti sono davanti agli occhi di tutti,i risultati sono oggi sotto gli occhi di tutti,81.1111,0.8655,0.1522,53.1,0,0
il presente decreto entra in vigore il giorno successivo a quello della sua pubblicazione,il presente decreto entra il vigore il giorno successivo a quello di pubblicazione,25.2096,0.4224,0.0833,13.7,0,0
la questione è però un altra,ma la questione e un altra,52.381,0.625,0.1124,32.5,0,0
la sintassi più semplice è quella seguente,la sintassi e la seguente,64.4841,0.2542,0.0899,19.4,0,0
e c è una cosa che non capisco,e qui c e un altra cosa che non capisco,34.1667,0.2055,0.0,5.5,0,0
e allora i soldi da dove arrivano,da dove arrivano i loro soldi,75.0,0.8067,0.1124,53.7,0,0
questa è solo la punta dell iceberg,questa era solo la punta dell iceberg,40.6614,0.6304,0.1319,53.3,0,0
che non è una bella cosa,non e una cosa facile,15.5556,0.3,0.0682,14.1,0,0
se il buon giorno si vede dal mattino,e se il giorno si vede dal mattino,30.5646,0.8294,0.1099,54.1,0,0
ci sono due ore di tempo,le ore di due sono due,51.3889,0.2174,0.0225,15.2,0,0
eppure le regole non sono cambiate,le regole non sono cambiate,42.9167,0.4331,0.0227,19.4,0,0
le spese del presente giudizio liquidate come da dispositivo seguono la soccombenza,le spese di giudizio seguono la soccombenza e vengono liquidate come da dispositivo,67.8522,0.8376,0.28,52.7,0,0
aveva mantenuto questo delicato incarico sino al 1986,mantenne tale incarico sino al 1986,69.213,0.8067,0.1124,53.7,0,0
ma non è la situazione attuale,com e la situazione attuale,54.5833,0.4991,0.0682,32.6,0,0
c è peraltro anche un altra possibilità,ci sono anche altre possibilita,82.4008,0.6727,0.1136,54.8,0,0
64 in quel medesimo istante gli si aprì la bocca e gli si sciolse la lingua e parlava benedicendo dio,64 in quel tempo gli si apri la bocca e gli si tocco la lingua e parlava dio stesso,19.5567,0.7398,0.2549,39.2,0,0
sin da adesso il giudizio su di lui è assai positivo,il giudizio complessivo sulla candidata e positivo,26.412,0.3651,0.0879,14.5,0,0
sembra facile ma non lo è,sembra facile ma non e cosi,61.5741,0.526,0.1124,50.8,0,0
carla lonzi taci anzi parla,sorprendentemente tonio battaglia assenza,0.0,0.0,0.0,6.2,0,0
siamo i primi al mondo insomma,siamo i primi al mondo,61.0317,0.8203,0.1136,57.9,0,0
all udienza del 21 aprile 1997 la causa è stata trattenuta in decisione,alla pubblica udienza del 21 aprile 1997 la causa e stata trattenuta a decisione,69.3462,0.8312,0.2245,62.6,0,0
è ancora attuale quella legge,e ancora oggi quella legge,29.7619,0.2,0.0227,12.7,0,0
perchè non sono proprio la stessa cosa,non possono essere la stessa cosa,100.0,0.9977,0.1573,100.0,0,0
e questo è solo un esempio tra i tanti,ma e un esempio tra i tanti,23.0754,0.3606,0.0222,13.1,0,0
ma ormai la frittata era stata fatta,ma ormani la frittata era fatta,75.7407,0.7782,0.1099,50.8,0,0
comunque questa è la mia opinione,poi questa e la mia opinione,39.3056,0.5773,0.0899,30.2,0,0
anche questo non ha senso,tutto questo non ha un senso,66.6667,0.7353,0.0674,32.5,0,0
e qui probabilmente emergerebbero le note più dolenti,e qui nascono le note piu delicato e noioso,60.8796,0.3175,0.0435,11.3,0,0
questa è una bella domanda,e una domanda difficile questa,52.0833,0.4573,0.0682,21.4,0,0
sostituire inoltre il comma 2 dell articolo 2 con il seguente 2,il comma 2 dello stesso articolo 2 e sostituito dal seguente 2,32.4183,0.5853,0.1684,19.2,0,0
questo è un altro passaggio importante,il passaggio decisivo e un altro,56.6667,0.2381,0.0,9.7,0,0
e adesso le cose come vanno,e oggi come vanno le cose,62.963,0.526,0.0674,19.3,0,0
l affluenza alle urne sarebbe stata di quasi il 90,l affluenza alle urne fu del 90,70.79,0.7454,0.1739,42.4,0,0
compensa integralmente le spese di giudizio tra le parti,compensa tra le parti le spese di entrambi i giudizi,56.3713,0.2747,0.0645,19.6,0,0
il discorso è più ampio e ohimè ben più drammatico,il discorso e piu ampio,31.0913,0.5111,0.1364,23.6,0,0
per ulteriori informazioni consultare i siti,per ulteriori informazioni si puo consultare il sito,82.9167,0.8648,0.1978,50.0,0,0
il male si vince col bene,il bene assolutamente deve vincere sul male,61.1111,0.5174,0.0222,15.6,0,0
eppure c è una differenza,c e una grossa differenza,37.6984,0.3,0.0909,14.1,0,0
e le polemiche non si finiscono qui,ma le polemiche non sono finite,56.6667,0.5773,0.0449,30.2,0,0
questo è un danno spaventoso per tutti,questo e un danno grave,41.7262,0.2542,0.0682,11.5,0,0
alla pubblica udienza del 6 maggio 2004 il ricorso è stato trattenuto in decisione,alla pubblica udienza del 6 maggio 2004 il ricorso veniva trattenuto per la decisione,73.844,0.9139,0.2653,77.4,0,0
spero di aver- ti chiarito un pò le idee,spero di aver chiarito le idee,100.0,0.9977,0.1573,100.0,0,0
i diritti sono dei rispettivi autori,i diritti sono dei reporter,52.6984,0.4991,0.0455,32.6,0,0
quali sono i criteri di selezione,quali sono stati i criteri di quella selezione,100.0,0.999,0.1978,100.0,0,0
praticamente non vuole più tornare a casa,non voglio piu tornare a casa,66.6667,0.7353,0.0899,32.5,0,0
oggi è la stessa situazione,e proprio la stessa situazione,44.6429,0.5111,0.0682,23.6,0,0
adesso evidentemente le cose sono cambiate,ora pero le cose sono cambiate,66.6667,0.6615,0.0899,50.8,0,0
questo non è certo il nostro peggiore problema,non e il nostro peggiore problema,34.0278,0.2941,0.0674,10.7,0,0
un primo passo è stato felicemente compiuto,il primo passo e stato compiuto,58.4722,0.7353,0.1124,32.5,0,0
è soltanto un caso o una scelta ben ponderata,e stato un caso o una scelta,81.8813,0.8552,0.1778,80.9,0,0
conseguentemente all articolo 28 dopo il comma 3 inserire i seguenti commi 3 bis,nell articolo 28 dopo il comma 3 e inserito il seguente comma 3 bis,75.8415,0.8552,0.268,70.0,0,0
la commissione prosegue l esame del provvedimento rinviato da ultimo nella seduta del 20 novembre 2003,la commissione prosegue l esame del provvedimento rinviato nella seduta del 20 novembre 2003,100.0,0.9998,0.3265,100.0,0,0
e di che cosa si parlava,e di che cosa parlano,100.0,0.996,0.1364,100.0,0,0
questo è un dato di fatto innegabile,e un dato di fatto,48.9947,0.7938,0.1364,66.9,0,0
la cosa mi sembra strana,la cosa puo sembrare strana,73.6111,0.75,0.1364,30.2,0,0
articolo 4 del regio decreto n. 267 del 1942 è abrogato,l articolo 4 del decreto legislativo n. 267 del 1942 e abrogato,31.7331,0.8067,0.2653,50.9,0,0
